EXPERIMENT_NUMBER,ENSEMBLE_TECHNIQUE,NUMBER_OF_MODELS,DATASET,CLEAN_ACCURACY,ASR
0,bagging_ResNet,10,cifar10,0.9614,0.9993333333333333
0,bagging_ResNet,25,cifar10,0.9642,0.9992222222222222
0,bagging_ResNet,50,cifar10,0.9645,0.9993333333333333
0,hard_voting,10,cifar10,0.9723,1.0
0,soft_voting,10,cifar10,0.9728,0.9998888888888889
0,hard_voting,25,cifar10,0.9728,1.0
0,soft_voting,25,cifar10,0.9746,1.0
0,hard_voting,50,cifar10,0.9738,1.0
0,stacking,10,cifar10,0.9639,0.994
0,stacking,50,cifar10,0.9567999,0.99944444
0,stacking,25,cifar10,96.59,99.9888888888889
0,soft_voting,50,cifar10,0.9738,0.9998888888888889

0,bagging_ResNet,10,gtsrb,0.9211401425178147,0.9985680190930788
0,bagging_ResNet,25,gtsrb,0.9250989707046714,0.9977724741447892
0,bagging_ResNet,50,gtsrb,0.9250989707046714,0.996260938743039
0,hard_voting,10,gtsrb,0.9760095011876485,1.0
0,soft_voting,10,gtsrb,0.9802850356294537,1.0
0,hard_voting,25,gtsrb,0.9804433887569279,1.0
0,soft_voting,25,gtsrb,0.9821060965954077,1.0
0,hard_voting,50,gtsrb,0.9828978622327791,1.0
0,soft_voting,50,gtsrb,0.9846397466349961,1.0
0,stacking,10,gtsrb,0.9794932699920822,0.9999204455051711
0,stacking,25,gtsrb,0.981710213776722,1.0
0,stacking,50,gtsrb,0.978147268408551,0.9998408910103421






